branch_id,branch_name,branch_manager,branch_phone_number,branch_opening_date,branch_type,branch_stock_market,branch_stock_symbol,branch_country_code
42,Branch B,Jan Coulman,175-719-4969,1/6/2010,Corporate,NASDAQ,PTF,CN
43,Branch C,Audi McAvinchey,173-736-6224,6/19/2013,University,NASDAQ,AMCN,ID
44,Branch A,Man Digman,228-686-9964,2/10/2014,University,NYSE,FMO,PH
45,Branch A,Candida Trounce,113-190-1230,2/11/2004,University,NYSE,BFS,FR
46,Branch A,Mervin Pike,301-847-0268,11/19/2003,Retail,NASDAQ,NFEC,CN
47,Branch C,Kessia Presslie,380-703-5879,10/22/2011,Corporate,NASDAQ,RNVA,CN
48,Branch A,Meg Attewill,522-354-9709,3/14/2019,University,NYSE,AGCO,PH
49,Branch B,Reinaldo Stuck,583-459-7594,3/30/2007,Corporate,NASDAQ,AMRB,FR
50,Branch B,Kele Bloy,405-976-0322,8/11/2009,Retail,NASDAQ,EHTH,PT
51,Branch C,Amos Roots,230-525-6169,1/28/2002,Retail,NASDAQ,FDEF,SI
52,Branch A,Reagen Foskett,707-297-9998,4/7/2017,Retail,NYSE,LXFT,PL
53,Branch C,Patricia Boyack,382-119-8355,7/21/2007,Retail,NASDAQ,BWEN,BD
54,Branch C,Roxana Hasell,128-736-4989,10/21/2000,Retail,NASDAQ,HYGS,ID
55,Branch C,Ilyse Tregiddo,691-697-4978,2/15/2014,University,NYSE,NOW,PL
56,Branch C,Waverley Sacaze,864-332-4508,3/8/2020,Corporate,NYSE,KOP,SS
57,Branch B,Violet Henaughan,364-757-8311,3/5/2020,Corporate,NASDAQ,TAPR,CN
58,Branch A,Bradford Finley,125-447-2644,1/19/2009,University,NASDAQ,PLPC,GM
59,Branch C,Maude Capelow,639-789-1145,7/4/2002,University,NYSE,JOE,CN
60,Branch A,Cly Ebbrell,630-709-8908,12/24/2018,University,NASDAQ,ACAD,CN
61,Branch C,Crin Gubbins,251-537-2871,12/13/2008,Retail,NYSE,CCC,ID
62,Branch A,Brander Dillaway,548-818-2752,1/26/2002,University,NASDAQ,IDCC,PL
63,Branch A,Dredi Millsom,832-675-9054,7/8/2003,Corporate,NASDAQ,LOGI,AZ
64,Branch A,Brittne Wasson,513-122-7433,9/17/2020,Retail,NASDAQ,QPACU,US
65,Branch B,Bridie Reedyhough,168-528-0087,8/16/2014,Corporate,NYSE,PWE,SE
66,Branch B,Annie Rolstone,904-361-7292,11/14/2002,Retail,NASDAQ,BBGI,PH
67,Branch A,Stephi De Maria,993-817-0784,4/12/2018,Retail,NASDAQ,ETRM,ID
68,Branch B,Lyman Edmunds,868-652-4534,6/14/2005,Retail,NASDAQ,CPSS,BR
69,Branch B,Dolf M'Quharge,265-207-3268,5/13/2003,University,NYSE,QUOT,ID
70,Branch C,Tiphanie Vuitton,501-147-2853,5/29/2021,Corporate,NYSE,NCI,FR
71,Branch B,Elizabet Maty,206-961-0107,10/2/2008,Retail,NYSE,PMO,CN
72,Branch A,Stafani Jozwicki,289-140-5949,1/4/2017,Corporate,NASDAQ,DSLV,MT
73,Branch C,Muriel Haddleston,132-935-9255,9/14/2022,Corporate,NASDAQ,FARM,CU
74,Branch C,Ansell Suggitt,695-108-1251,11/4/2021,Retail,NASDAQ,WSBF,FM
75,Branch B,Kimberlyn Belfrage,450-499-5557,8/16/2000,Corporate,NYSE,NIM,TD
76,Branch A,Brig Troop,316-875-7744,7/30/2000,University,NASDAQ,LMBS,AM
77,Branch A,Ethel Aspole,292-494-2837,2/12/2014,University,NASDAQ,FATE,CZ
78,Branch A,Phylis Bolte,525-529-5237,5/28/2017,Corporate,NYSE,KTP,PT
79,Branch A,Dionne Neggrini,494-295-9773,10/24/2004,University,NASDAQ,FCSC,FR
80,Branch A,Harwilll Jelphs,695-855-5196,3/10/2017,Corporate,NYSE,TISI,MN
81,Branch B,Daisi Braidley,406-871-7346,9/4/2012,Retail,NYSE,MCC,SE
82,Branch C,Easter Caulton,411-429-5711,9/24/2014,Retail,NYSE,OHI,PK
83,Branch C,Audie Peer,279-462-1858,5/29/2011,Corporate,NYSE,NTC,PL
84,Branch B,Yorker Cultcheth,821-885-3846,8/15/2012,Retail,NASDAQ,CSWC,BR
85,Branch A,Matthiew Robison,201-535-4316,1/10/2000,University,NASDAQ,NTRS,CZ
86,Branch C,Godfrey McGreay,156-567-3742,7/7/2000,University,NASDAQ,TEAM,PH
87,Branch B,Simonette Nelthropp,921-594-2321,11/12/2020,University,NYSE,SAN^A,FI
88,Branch C,Elberta Guilloneau,862-788-7427,12/20/2018,Corporate,NYSE,ARI^A,PL
89,Branch C,Carlin Kayzer,969-379-5248,5/1/2019,Retail,NASDAQ,APOPW,BD
90,Branch A,Tilda Marryatt,128-487-6969,9/1/2008,University,NYSE,SWFT,BR
91,Branch B,Emlynne Bicknell,790-722-1004,3/31/2000,University,NYSE,HCC,AM
92,Branch A,Kahlil Cauthra,163-268-5916,9/24/2011,Retail,NASDAQ,STRT,PT
93,Branch A,Jeramey Burdis,624-191-7260,11/21/2021,Corporate,NYSE,TAP,UA
94,Branch B,Kamilah Borell,891-430-1818,5/3/2011,University,NASDAQ,WTFCM,ET
95,Branch B,Olivie Paling,780-778-6468,2/7/2018,Corporate,NYSE,HJV,CN
96,Branch C,Hyacintha Tame,975-590-7988,1/19/2012,Corporate,NYSE,JDD,CN
97,Branch C,Cherise Casseldine,400-850-7167,11/1/2010,Retail,NASDAQ,MDGS,ID
98,Branch A,Emmott Forsdike,529-390-8478,4/24/2017,Retail,NYSE,ITCB,PE
99,Branch A,Sigvard Esselin,933-144-5217,12/9/2014,Corporate,NASDAQ,AMTD,JP
100,Branch B,Kaylil Shyre,811-920-9603,12/15/2013,Retail,NYSE,AP,CN
101,Branch C,Thea Pallatina,523-399-7158,8/15/2008,University,NYSE,LL,CN
102,Branch B,Selig Zaniolo,468-345-9990,10/2/2002,Retail,NYSE,PAR,CN
103,Branch C,Karia Aitkin,156-173-5541,11/12/2007,Retail,NASDAQ,CUTR,UA
104,Branch C,Carey Dienes,806-873-7122,3/6/2011,Corporate,NASDAQ,BHBK,AM
105,Branch B,Ulric Boyse,114-672-1669,6/25/2000,Retail,NASDAQ,VBND,ZM
106,Branch B,Julee Enocksson,951-417-1434,9/9/2011,University,NASDAQ,SVVC,HT
107,Branch A,Elisabet Lefort,454-324-2167,11/26/2008,Retail,NASDAQ,FFKT,GR
108,Branch B,Axel Stairmand,468-214-2613,2/7/2007,Retail,NYSE,ASPN,FR
109,Branch C,Lynea Bonicelli,601-256-2687,12/27/2008,Retail,NASDAQ,SPNS,RS
110,Branch C,Kennan Wandrach,851-226-3777,12/2/2005,University,NYSE,TNET,VN
111,Branch A,Marquita Kristiansen,110-751-9671,12/1/2017,Retail,NYSE,RT,CN
112,Branch A,Wendeline Blanckley,392-144-2853,2/25/2001,Corporate,NYSE,CLNS^B,CN
113,Branch B,Delmer Plevey,401-839-1117,6/19/2000,Corporate,NYSE,FUN,US
114,Branch B,Penny Ferryn,146-118-7620,12/10/2007,Retail,NASDAQ,FHK,PT
115,Branch A,Arnaldo Girardot,562-917-7480,6/29/2019,University,NYSE,PRTY,TN
116,Branch C,Mackenzie Sive,448-666-6943,2/7/2001,University,NASDAQ,BFIT,CA
117,Branch C,Anjanette Mansour,841-549-1060,2/22/2018,Retail,NYSE,GEF,RU
118,Branch A,Augy Stobart,460-712-6984,9/24/2007,Retail,NASDAQ,IBB,UA
119,Branch C,Alaine Barling,113-318-2966,2/10/2001,University,NYSE,BLD,ID
120,Branch A,Sylvan Gellan,712-193-3026,10/27/2017,University,NASDAQ,BKSC,BR
121,Branch A,Sondra Lynnett,499-824-4340,9/7/2021,Corporate,NYSE,IPG,CN
122,Branch A,Eduino Priditt,316-140-4286,9/21/2002,Corporate,NYSE,TPGE.U,DE
123,Branch B,Weidar Antham,104-711-9195,3/10/2017,Corporate,NYSE,TCCA,CN
124,Branch C,Rozamond Klug,289-125-1238,8/8/2009,University,NASDAQ,JACK,ID
125,Branch B,Bonnie Bruck,521-732-1864,4/15/2007,University,NYSE,CCU,IE
126,Branch A,Rafaelia Macquire,802-488-0603,12/28/2004,Corporate,NYSE,GBAB,CN
127,Branch C,Annora Cockrell,203-242-2683,11/3/2008,Retail,NYSE,STNG,CN
128,Branch C,Isadore Holstein,872-139-7797,10/11/2001,Corporate,NASDAQ,OHRP,RU
129,Branch C,Averyl Ivimey,816-237-3013,11/30/2005,Retail,NYSE,PBA,US
130,Branch B,Norman Paffitt,524-992-1715,12/9/2012,Retail,NASDAQ,LLNW,CN
131,Branch C,Elisha Barrett,310-224-8217,12/14/2008,University,NASDAQ,CDL,MA
132,Branch B,Henry Kerwick,817-446-3159,11/20/2004,University,NYSE,LEE,CN
133,Branch C,Briana Wiffen,311-321-4381,8/5/2005,Retail,NYSE,CSL,BR
134,Branch C,Burgess Zipsell,265-925-7820,3/13/2006,Corporate,NASDAQ,NGHC,RU
135,Branch C,Hillie Aime,926-447-5537,6/16/2004,Retail,NYSE,EURN,SE
136,Branch A,Ruthie Smurthwaite,478-119-8243,4/16/2002,University,NYSE,OFC,BR
137,Branch A,Mike Rosten,320-557-2861,9/27/2002,Retail,NASDAQ,ICCH,ID
138,Branch C,Brenn Lorans,271-743-5715,2/19/2020,University,NYSE,CLD,BW
139,Branch A,Clarice Robken,161-199-1707,12/22/2000,University,NYSE,DBL,CN
140,Branch C,Renata Wescott,484-417-9274,12/17/2012,Corporate,NASDAQ,CAAS,CN
141,Branch A,Radcliffe Crohan,284-401-5239,4/16/2015,Retail,NASDAQ,AIMT,JO
142,Branch A,Alick Brave,673-688-1817,7/6/2001,Retail,NASDAQ,CBAN,CN
143,Branch A,Zacharia Hartell,647-992-3119,7/10/2017,Retail,NYSE,MZF,PH
144,Branch B,Katalin Cleal,262-903-0647,5/21/2015,Retail,NASDAQ,FCCO,FR
145,Branch B,Lorene McGonnell,569-592-3222,5/18/2000,Retail,NASDAQ,CBFV,BR
146,Branch A,Chrissy Moffett,728-961-7449,12/23/2017,Retail,NASDAQ,TYPE,UA
147,Branch B,Phylis Edgars,381-839-0810,12/13/2020,Corporate,NYSE,PSA^B,CN
148,Branch B,Laure Spondley,806-604-3782,11/16/2012,Corporate,NASDAQ,AXARU,AM
149,Branch B,Udell Luchetti,754-712-4999,6/2/2019,Corporate,NASDAQ,VRIG,ID
150,Branch A,Morry Gavan,146-899-6405,6/9/2022,Corporate,NYSE,TOT,ZA
151,Branch C,Doy Baggelley,171-681-2192,3/25/2009,University,NYSE,DVN,CN
152,Branch C,Fabiano Kayzer,798-336-0910,4/12/2004,Retail,NYSE,GS^N,PL
153,Branch A,Davin Jaquiss,828-962-1209,1/28/2008,Retail,NASDAQ,EVLV,CN
154,Branch A,Suzanne Dat,865-569-6774,11/19/2004,Corporate,NASDAQ,GLBZ,PL
155,Branch A,Leo Chatenet,427-704-4064,3/27/2016,Corporate,NASDAQ,CFBK,YE
156,Branch C,Orel Packer,304-904-9137,3/19/2003,University,NASDAQ,ANDE,PH
157,Branch C,Blinni Hendrik,343-193-1848,10/2/2004,Retail,NYSE,MCR,NR
158,Branch B,Diann Shakshaft,476-347-6338,5/6/2022,Corporate,NYSE,DCT,FR
159,Branch A,Auria Wolters,242-291-3265,6/25/2020,Corporate,NYSE,SFS,ZA
160,Branch B,Julia Hedylstone,258-706-9158,3/13/2016,Retail,NYSE,CLNS^H,CN
161,Branch B,Dare Gosford,241-225-5650,1/27/2011,Retail,NASDAQ,EDBI,JP
162,Branch A,Dari Niece,649-429-9372,7/28/2020,Corporate,NASDAQ,ROSE,NG
163,Branch B,Arne Banville,179-164-3849,3/9/2013,University,NASDAQ,PMTS,AR
164,Branch C,Fanya Malcher,145-559-6075,8/24/2020,University,NYSE,OKE,CN
165,Branch A,Page Fauguel,474-174-0764,9/20/2012,Corporate,NASDAQ,HUNTU,GR
166,Branch C,Moll Gratland,194-940-7818,11/28/2005,University,NYSE,NMI,SE
167,Branch B,Pincus Maleham,275-339-4566,6/28/2000,University,NASDAQ,ESRX,CN
168,Branch A,Elysha Trangmar,698-435-7551,12/23/2005,Corporate,NASDAQ,BELFB,BF
169,Branch C,Illa Dagg,264-686-0888,1/8/2015,University,NYSE,BPK,ID
170,Branch C,Lilia Bottrill,653-649-8536,1/16/2020,University,NYSE,MYJ,BA
171,Branch A,Rog Shalcras,932-701-3198,8/1/2013,University,NYSE,HOG,PL
172,Branch B,Libby Jarman,299-353-1882,3/21/2018,Retail,NYSE,MIY,CN
173,Branch A,Audrye Bray,503-470-8040,9/14/2016,Retail,NYSE,DCUD,KP
174,Branch A,Killie Senechell,467-955-3644,3/25/2002,University,NYSE,WCG,SY
175,Branch B,Tracee Martindale,739-621-5974,11/2/2008,Retail,NASDAQ,CID,PH
176,Branch C,Brandon Allsop,471-923-8502,11/26/2020,Corporate,NYSE,AES^C.CL,ID
177,Branch B,Tilly Tonkin,836-807-0476,3/25/2021,Corporate,NASDAQ,VSTM,PL
178,Branch A,Janice Dabnor,271-428-3987,8/12/2015,Retail,NASDAQ,AQB,FR
179,Branch B,Jared Breton,619-884-5720,3/12/2003,Corporate,NASDAQ,SQQQ,GT
180,Branch A,Catrina Mowsdale,687-892-4479,10/3/2004,University,NYSE,CBB,IL
181,Branch C,Corella Camel,342-773-1761,9/26/2014,University,NASDAQ,SPTN,CN
182,Branch C,Nathan Rawcliffe,259-129-2932,10/9/2008,Corporate,NASDAQ,ASPS,VN
183,Branch A,Tarra Merwood,620-977-2813,11/13/2000,University,NYSE,EGN,VE
184,Branch C,Demetri Jukubczak,205-989-5483,4/9/2015,Corporate,NASDAQ,SBRA,CN
185,Branch A,Lezlie Devaney,554-703-5353,3/23/2021,Retail,NYSE,C^N,CN
186,Branch A,Neile Coll,925-264-2026,12/29/2020,University,NYSE,NEA,PH
187,Branch B,Bil Jeggo,247-238-5792,8/18/2000,Retail,NYSE,NDRO,CI
188,Branch C,Neely Draysey,122-914-8205,1/28/2000,Retail,NASDAQ,ALRM,FR
189,Branch A,Randy Coventry,547-289-2300,5/24/2020,Retail,NASDAQ,CHW,CN
190,Branch A,Shanta Scemp,681-304-6572,6/24/2007,Retail,NASDAQ,MEIP,MA
191,Branch C,Purcell Freeborne,750-985-3948,12/9/2010,Corporate,NYSE,SJW,CN
192,Branch B,Cris Borrie,111-476-7357,8/30/2021,University,NYSE,GNL,CN
193,Branch B,Amil Cudihy,156-803-3208,1/20/2017,University,NASDAQ,full_name,SE
194,Branch A,Tymon Ramelot,568-121-7997,11/24/2021,Retail,NYSE,TSS,AF
195,Branch C,Kessiah Bothe,803-752-8910,4/19/2007,Corporate,NYSE,TEVA,PK
196,Branch C,Benni Chimienti,907-606-5601,1/5/2016,Corporate,NYSE,KRC,BR
197,Branch A,Coral Grzegorek,428-186-9885,3/18/2015,Retail,NYSE,KAP,MX
198,Branch C,Yale Brauns,267-256-0787,8/30/2006,Retail,NYSE,LCM,TH
199,Branch B,Amalea Westover,794-106-4142,1/25/2021,University,NASDAQ,LVNTB,RO
200,Branch B,Lou MacGiany,706-600-9337,5/20/2021,Corporate,NASDAQ,MOCO,GQ
201,Branch A,Jacquelynn Dumberell,107-821-6836,8/18/2001,Corporate,NASDAQ,EARS,NI
202,Branch B,Jaimie Willerton,274-309-3346,10/13/2005,Retail,NYSE,LCII,SN
203,Branch A,Chloris Bang,930-815-8238,5/20/2003,Retail,NASDAQ,ENG,ID
204,Branch C,Loralie Imrie,947-349-0056,8/23/2010,Retail,NASDAQ,SCWX,ID
205,Branch C,Pavla Castella,955-921-7667,9/7/2000,Retail,NYSE,FMSA,CA
206,Branch C,Earle Rattry,814-781-4448,5/28/2001,Retail,NYSE,BSD,NO
207,Branch A,Glyn Downey,546-229-2507,7/25/2020,University,NYSE,P,MX
208,Branch B,Rebeca Biasio,482-556-7138,6/26/2001,Corporate,NASDAQ,HRMN,VN
209,Branch A,Concettina Rowter,418-168-5738,3/30/2012,Corporate,NASDAQ,IDRA,SE
210,Branch C,Dedie Strafford,310-353-5763,8/13/2014,University,NYSE,CHE,ID
211,Branch C,Gerardo Stanlick,950-975-5571,2/6/2012,University,NASDAQ,IXUS,CA
212,Branch A,Vinnie Thurborn,541-441-5155,1/30/2020,Retail,NASDAQ,ARLZ,AF
213,Branch A,Filip Abramovitch,323-417-1741,11/6/2020,Retail,NASDAQ,BLDP,CN
214,Branch A,Fitzgerald Massy,962-661-0962,11/2/2007,Corporate,NYSE,AQN,UA
215,Branch C,Dani Withnall,273-900-2127,12/24/2022,Corporate,NASDAQ,ANDE,CN
216,Branch C,Jay Padbury,125-480-5925,12/10/2012,Corporate,NYSE,TLP,CN
217,Branch A,Arthur Dibbert,399-806-2717,5/1/2021,Corporate,NASDAQ,FMI,RU
218,Branch C,Al Richfield,125-347-2267,2/21/2007,Retail,NASDAQ,BANX,PT
219,Branch B,Lyssa Pyatt,614-983-0295,3/11/2001,University,NYSE,NRT,ID
220,Branch C,Jaynell Maddicks,366-118-5547,3/5/2000,University,NASDAQ,PAACW,CO
221,Branch B,Jecho Prate,101-994-7219,10/5/2020,Corporate,NASDAQ,MPAA,JP
222,Branch A,Lane Darcy,193-852-4110,5/8/2019,University,NYSE,BNED,PH
223,Branch A,Alane Fley,352-104-1244,6/15/2019,Retail,NYSE,GER,US
224,Branch A,Mikkel Ryley,234-841-6731,6/18/2012,University,NASDAQ,CCRN,RU
225,Branch B,Lillis Shrubb,616-223-7275,1/9/2021,Retail,NYSE,PAC,US
226,Branch B,Jacki Romao,604-277-8394,11/28/2005,University,NASDAQ,EBSB,UA
227,Branch C,Angelika Mochan,421-544-4065,9/3/2008,Retail,NASDAQ,PIZ,CZ
228,Branch C,Elianore Dronsfield,423-969-4952,1/13/2013,Corporate,NYSE,FOR,ID
229,Branch C,Allene Geraldo,683-715-1481,4/26/2020,Corporate,NYSE,FRC^E,ID
230,Branch B,Roseanna Leydon,985-748-3114,1/14/2022,University,NASDAQ,OREX,CN
231,Branch A,Burnaby Gyves,895-792-6061,2/8/2005,Corporate,NYSE,TDE,ID
232,Branch A,Enrika Mortell,723-242-8143,9/3/2016,Retail,NASDAQ,HRZN,DE
233,Branch B,Gray Deuss,145-259-6239,3/3/2019,Corporate,NYSE,ODC,CN
234,Branch C,Tamar Braghini,298-336-0449,7/25/2002,Corporate,NASDAQ,ELSE,PS
235,Branch B,Maurits Minchin,195-632-6998,11/19/2016,Retail,NASDAQ,OTIC,PT
236,Branch A,Dorthy Ricciardi,619-290-6867,10/25/2001,Retail,NYSE,MLI,CN
237,Branch B,Ulrich Marwick,219-863-7443,7/20/2016,Corporate,NYSE,AHT^D,CN
238,Branch A,Ianthe Endrizzi,842-308-2578,9/24/2009,University,NASDAQ,RARX,PL
239,Branch C,Grethel Buscombe,893-702-5120,3/20/2010,Retail,NASDAQ,EXEL,ID
240,Branch B,Sasha Foli,225-998-0442,8/5/2005,Retail,NYSE,BIT,FR
241,Branch A,Marena Priddis,727-373-7911,10/6/2018,Retail,NYSE,APB,ID
242,Branch B,Trudie Simonyi,535-305-7864,9/11/2002,University,NASDAQ,VWOB,PT
243,Branch B,Zacharias Edmands,964-607-0002,12/21/2014,Retail,NASDAQ,CSQ,TH
244,Branch B,Lamar McCreery,328-158-7821,2/17/2007,University,NASDAQ,CLIRW,CN
245,Branch B,Cyndy Candey,698-326-9721,12/26/2005,Retail,NASDAQ,ATRS,NG
246,Branch B,Oren Pavolillo,448-541-7140,10/5/2016,Retail,NYSE,APAM,CN
247,Branch C,Ansel Blankley,823-702-8052,11/7/2015,Corporate,NASDAQ,MAT,PH
248,Branch C,Roanne Eefting,125-311-7177,8/28/2005,Corporate,NASDAQ,VSEC,PH
249,Branch B,Ellis Feechan,351-209-7087,7/29/2020,University,NYSE,WBAI,TZ
250,Branch A,Babs Swaite,645-336-6036,5/26/2017,Corporate,NYSE,OOMA,RU
251,Branch B,Donnell Hackworth,658-960-5550,5/11/2017,Corporate,NASDAQ,CORI,ID
252,Branch B,Dudley Sparshatt,943-664-8948,10/30/2012,University,NASDAQ,CHTR,PE
253,Branch C,Sonny Purle,543-930-4398,5/15/2016,Retail,NASDAQ,CUI,BR
254,Branch A,Sam Nelmes,915-579-5708,2/17/2005,Corporate,NASDAQ,RNVA,KR
255,Branch A,Armando Sibylla,492-548-3544,6/20/2002,Retail,NYSE,SWP,RU
256,Branch B,Tess Sunter,424-372-5138,3/9/2018,Corporate,NASDAQ,AKER,CN
257,Branch B,Lonni Bonellie,421-476-9408,7/24/2021,University,NASDAQ,TTMI,PH
258,Branch C,Catrina Kordovani,635-776-5497,8/8/2000,Corporate,NASDAQ,BLVDW,UA
259,Branch A,Luci Widdowes,617-688-2072,7/19/2020,Retail,NASDAQ,PTGX,SZ
260,Branch C,Clarisse Romain,875-554-5511,12/3/2000,Retail,NYSE,PUK,EC
261,Branch A,Stephanie Levane,749-446-1687,10/23/2022,Retail,NASDAQ,BLIN          ,ES
262,Branch C,Neely Bonanno,721-359-5990,7/19/2004,University,NYSE,CBO,PE
263,Branch A,Else Cudbertson,704-225-3108,10/5/2022,Retail,NYSE,AL,US
264,Branch C,Desirae Somner,609-323-2120,9/25/2014,University,NASDAQ,SCWX,MX
265,Branch A,Feliza Offer,449-593-1826,1/12/2003,Retail,NYSE,CHU,PH
266,Branch C,Basilio Barczewski,590-520-1383,4/25/2012,Retail,NASDAQ,COUP,PH
267,Branch C,Dilly Ordelt,757-150-3638,1/25/2015,University,NASDAQ,TUTI,RU
268,Branch A,Bee Hain,889-309-5798,12/16/2004,University,NYSE,ZTR,PH
269,Branch A,Darryl Carswell,817-323-5525,7/6/2020,University,NASDAQ,BOTJ,UA
270,Branch B,Dierdre Hannibal,377-273-7379,11/12/2021,Retail,NASDAQ,INFN,PK
271,Branch B,Laverne Beavis,196-740-0486,3/4/2011,Corporate,NYSE,TS,BR
272,Branch B,Prudy Roder,869-247-2247,2/20/2016,Corporate,NASDAQ,SHOR,PT
273,Branch B,Siegfried Jacks,375-932-0506,3/5/2022,University,NASDAQ,GLPG,ID
274,Branch A,Fiann Mahood,416-184-9698,7/20/2015,Corporate,NYSE,FRC^C,CN
275,Branch B,Sherman Aylett,121-840-0707,6/29/2007,Corporate,NYSE,JMLP,AF
276,Branch A,Pacorro Tremelling,538-798-3151,8/18/2022,University,NYSE,RY^T,CN
277,Branch A,Kynthia Isselee,264-840-9371,9/2/2002,Retail,NYSE,NMS,PT
278,Branch B,Kellby Heffy,165-715-4714,8/13/2008,Retail,NYSE,TLRD,RU
279,Branch C,Ron Dureden,681-286-4133,7/28/2000,University,NASDAQ,ZBRA,UG
280,Branch B,Osbourn De Maine,116-254-9762,8/30/2001,University,NYSE,EGL,PE
281,Branch A,Freddy Shubotham,831-494-8102,5/23/2022,University,NYSE,ASG,JP
282,Branch A,Marcille Simmonds,952-667-7131,1/6/2008,University,NASDAQ,LITE,YE
283,Branch A,Filide Moberley,111-157-3819,7/11/2004,Retail,NYSE,REVG,TN
284,Branch B,Renae Burrel,835-824-9939,4/16/2006,Retail,NASDAQ,CVCY,CN
285,Branch B,Elna Liveley,187-372-6505,3/15/2004,Retail,NYSE,NTP,NG
286,Branch C,Piggy Klaussen,174-196-8932,3/23/2000,University,NASDAQ,CALM,SE
287,Branch B,Merola Crosswaite,534-658-5073,11/22/2006,Retail,NYSE,ATR,AR
288,Branch B,Elisabeth MacCumiskey,284-283-1560,3/12/2007,Corporate,NASDAQ,SNES,BY
289,Branch A,Valenka Koopman,633-258-4259,4/10/2002,Corporate,NYSE,RWT,ID
290,Branch C,Morgana Humm,823-983-1328,10/13/2005,Corporate,NASDAQ,GLNG,VN
